iso3,year,n_events,n_conflict_events,n_unrest_events,total_fatalities,conflict_score
ARM,2018.0,1756,1364,377,6.0,0.5461889289265258
ARM,2019.0,1685,1361,320,2.0,0.5447291586771841
ARM,2020.0,1585,1241,332,27.0,0.5364482230574615
ARM,2021.0,495,101,381,24.0,0.3318749263483595
ARM,2022.0,587,145,420,217.0,0.391578308578564
ARM,2023.0,427,123,298,24.0,0.3325323387542682
ARM,2024.0,371,26,339,4.0,0.26453447837802724
BGD,2010.0,2607,823,1709,611.0,0.5530871320815648
BGD,2011.0,2314,734,1542,573.0,0.5419461498749081
BGD,2012.0,1843,536,1277,470.0,0.5139503246272626
BGD,2013.0,2782,627,2130,812.0,0.5537748649257234
BGD,2014.0,1124,460,656,391.0,0.4825323444334812
BGD,2015.0,1937,366,1545,502.0,0.504797181413188
BGD,2016.0,822,280,536,421.0,0.45262998022649087
BGD,2017.0,570,159,400,227.0,0.3957909193044172
BGD,2018.0,1304,286,1010,268.0,0.4607778868496286
BGD,2019.0,1736,372,1349,391.0,0.4934235913633809
BGD,2020.0,1524,212,1293,279.0,0.46114541778909957
BGD,2021.0,2594,197,2350,357.0,0.5002905882392706
BGD,2022.0,2310,237,2042,309.0,0.4930885672465355
BGD,2023.0,2716,318,2315,336.0,0.5113454124346565
BGD,2024.0,3511,333,3037,1909.0,0.5832830284893691
BRA,2018.0,18055,9890,7516,7373.0,0.8058830130158633
BRA,2019.0,12672,8152,3926,5760.0,0.7781420160304127
BRA,2020.0,11347,7683,3092,5689.0,0.7714049475387831
BRA,2021.0,12963,7917,4653,6357.0,0.7803672581849648
BRA,2022.0,14618,9629,4620,7746.0,0.800041882433546
BRA,2023.0,12399,9766,2176,8408.0,0.7989623026989056
BRA,2024.0,10976,9122,1481,7509.0,0.7889022839640394
COL,2018.0,2798,1776,528,1503.0,0.6121146226141831
COL,2019.0,2940,1730,819,1430.0,0.6117102594851717
COL,2020.0,3087,1902,839,1770.0,0.6252590980485081
COL,2021.0,5572,2179,2960,2115.0,0.6564035597020015
COL,2022.0,4721,2500,1715,2305.0,0.6592663676972358
COL,2023.0,5733,2505,2710,2019.0,0.6622143335326993
COL,2024.0,4939,2187,2096,1760.0,0.6451763464051795
ETH,2010.0,191,176,5,1588.0,0.5012294484106868
ETH,2011.0,83,76,3,655.0,0.4047864449988001
ETH,2012.0,160,118,35,885.0,0.44243828276398933
ETH,2013.0,141,106,30,584.0,0.4051259958411386
ETH,2014.0,132,46,79,335.0,0.34433070453638587
ETH,2015.0,379,87,290,811.0,0.4416138013673961
ETH,2016.0,1218,293,898,2515.0,0.5676007834391246
ETH,2017.0,494,280,194,1355.0,0.50509845725343
ETH,2018.0,889,412,381,1579.0,0.5330424020268965
ETH,2019.0,317,104,197,670.0,0.42555233483508914
ETH,2020.0,718,574,126,4364.0,0.6172899069293701
ETH,2021.0,1909,1558,212,8546.0,0.6995464471173638
ETH,2022.0,1589,1248,169,6440.0,0.6702711236032052
ETH,2023.0,1767,1364,207,3753.0,0.6356130957079708
ETH,2024.0,3042,2562,127,7564.0,0.7083841984682683
GEO,2018.0,756,21,725,3.0,0.32947520363612176
GEO,2019.0,878,15,850,3.0,0.342310166178668
GEO,2020.0,925,20,888,1.0,0.3486042364191475
GEO,2021.0,895,8,875,0.0,0.34122526823142996
GEO,2022.0,503,2,489,0.0,0.2751842581953959
GEO,2023.0,320,8,311,2.0,0.2358139354290739
GEO,2024.0,444,21,415,1.0,0.2760634345296732
GRC,2018.0,414,37,349,26.0,0.28609994047349097
GRC,2019.0,872,62,749,7.0,0.35315376638388607
GRC,2020.0,941,29,835,6.0,0.3478083488486642
GRC,2021.0,769,45,692,7.0,0.338651482427512
GRC,2022.0,752,52,583,70.0,0.3440949094764409
GRC,2023.0,876,49,609,146.0,0.3621265285430694
GRC,2024.0,893,43,668,59.0,0.34723631508995145
GTM,2018.0,1111,845,242,800.0,0.5337826465858284
GTM,2019.0,1595,1077,445,1115.0,0.5657715937444464
GTM,2020.0,948,645,240,573.0,0.5035005451628918
GTM,2021.0,1444,642,733,673.0,0.5209418530018172
GTM,2022.0,1380,769,523,744.0,0.5308995780187156
GTM,2023.0,1987,872,1058,853.0,0.553598932229858
GTM,2024.0,352,228,106,285.0,0.4027961313721903
HND,2018.0,1253,663,544,793.0,0.5240939168030798
HND,2019.0,1757,797,855,1016.0,0.5504374830066234
HND,2020.0,1339,635,615,727.0,0.5200380860420278
