iso3,year,n_disasters,total_deaths,total_affected,total_damage_kUSD,disaster_score
ARM,2013,2,0.0,76000.0,80793.0,0.5855983243496626
ARM,2018,1,0.0,9900.0,2276.0,0.4025067793602037
ARM,2019,1,0.0,11700.0,0.0,0.24703332029726566
ARM,2020,1,0.0,2836.0,0.0,0.17500255779365156
ARM,2023,1,0.0,18000.0,0.0,0.26918609870022814
ARM,2024,1,4.0,429.0,50000.0,0.5602742288387886
BGD,2010,5,41.0,832160.0,0.0,0.46767230258146436
BGD,2011,4,85.0,1672680.0,0.0,0.5038288316871515
BGD,2012,5,344.0,5658154.0,0.0,0.5669826742231671
BGD,2013,3,50.0,1532207.0,26931.0,0.5516098600041263
BGD,2014,4,79.0,3205709.0,212009.0,0.642376837793197
BGD,2015,7,152.0,4072351.0,111172.0,0.6178548084899997
BGD,2016,4,198.0,3103625.0,980249.0,0.715979474501373
BGD,2017,5,178.0,11386826.0,803675.0,0.7109422046272379
BGD,2018,4,102.0,14000.0,0.0,0.284439092868624
BGD,2019,5,258.0,7866051.0,99122.0,0.6260268189918472
BGD,2020,2,283.0,8048271.0,2424076.0,0.7629353299401936
BGD,2021,2,24.0,1568744.0,0.0,0.5003238570559092
BGD,2022,2,176.0,8200000.0,495741.0,0.6869951757611864
BGD,2023,5,147.0,3250018.0,258403.0,0.6514765268115905
BGD,2024,6,124.0,48778944.0,280300.0,0.7017341094070304
BRA,2010,5,395.0,306938.0,1153736.0,0.7229485261223462
BRA,2011,9,978.0,2157753.0,1397339.0,0.7335419287736128
BRA,2012,3,3.0,4299000.0,2228398.0,0.7578693838202718
BRA,2013,6,121.0,261274.0,855734.0,0.7074860712241741
BRA,2014,5,41.0,27618152.0,6890296.0,0.8173677661692375
BRA,2015,5,13.0,309547.0,5294.0,0.4679185630494372
BRA,2016,3,294.0,51277.0,261400.0,0.64607250738053
BRA,2017,2,168.0,104450.0,127974.0,0.6094177974154384
BRA,2018,2,7.0,1250.0,66209.0,0.5748205493011628
BRA,2019,8,47.0,10048973.0,0.0,0.5964345249005831
BRA,2020,7,163.0,18280.0,4363336.0,0.7916787587461488
BRA,2021,9,62.0,1608050.0,4101565.0,0.788674417487336
BRA,2022,12,528.0,224081.0,5510502.0,0.8037874467386409
BRA,2023,16,171.0,1239520.0,3964791.0,0.7868786865737624
BRA,2024,11,275.0,2618588.0,13610000.0,0.8506802244297454
COD,2010,5,64.0,77612.0,0.0,0.3487348075944191
COD,2011,4,636.0,36757.0,0.0,0.35793019812796406
COD,2012,5,609.0,28161.0,0.0,0.3517533846173954
COD,2014,2,203.0,4767.0,19876.0,0.5131471750196002
COD,2015,5,55.0,247953.0,0.0,0.4058717647588409
COD,2016,4,105.0,15273.0,0.0,0.2876870166509612
COD,2017,2,148.0,1522.0,0.0,0.26414827221320647
COD,2018,3,2371.0,19240.0,0.0,0.4064580271452845
COD,2019,3,4182.0,610731.0,0.0,0.4784073229100976
COD,2020,7,138.0,231506.0,0.0,0.4041806375438888
COD,2021,2,237.0,291066.0,0.0,0.41708631089484965
COD,2022,7,236.0,26234265.0,0.0,0.6461458952538982
COD,2023,4,2874.0,67726.0,10295.0,0.4937804652993076
COD,2024,3,313.0,2479957.0,0.0,0.5246070917827238
COL,2010,4,449.0,2796760.0,1438574.0,0.7352315844812931
COL,2011,2,273.0,1487523.0,3235355.0,0.7764287764166939
COL,2012,4,77.0,104753.0,139360.0,0.6137591426097966
COL,2013,3,98.0,62967.0,8079.0,0.4703511667192598
COL,2014,5,88.0,72232.0,10600.0,0.4837616966087504
