iso3,year,gdp_growth_pct,inflation_rate,unemployment_rate,govt_expenditure_gdp_pct,current_account_gdp_pct,economic_score
ARM,2010,2.2,8.2,19.0,0.0,-13.6,0.378227323254156
ARM,2011,4.7,7.5,18.4,0.0,-10.4,0.31989257770141377
ARM,2012,7.1,2.5,17.3,0.0,-10.0,0.2064338996132411
ARM,2013,3.4,5.7,16.2,0.0,-7.3,0.31237615405692365
ARM,2014,3.6,3.0,17.6,0.0,-7.8,0.2854109005532841
ARM,2015,3.3,3.7,18.5,0.0,-2.7,0.3088208343825842
ARM,2016,0.2,0.0,18.0,0.0,-1.0,0.2632055544735429
ARM,2017,7.5,0.9,17.8,0.0,-1.3,0.16235240706327916
ARM,2018,5.2,2.5,19.0,0.0,-7.2,0.25645836451999876
ARM,2019,7.6,1.5,18.3,0.0,-7.1,0.1823518940144106
ARM,2020,-7.1,1.5,18.2,0.0,-4.0,0.4665994349187004
ARM,2021,5.8,7.5,15.5,0.0,-3.4,0.27607269758929265
ARM,2022,12.6,8.8,13.5,0.0,0.7,0.13807956949144376
ARM,2023,8.3,2.0,12.4,0.0,-2.8,0.13501904413855315
ARM,2024,5.9,0.4,13.9,0.0,-4.6,0.1430309635970721
BGD,2010,5.6,7.3,9.3,0.0,2.3,0.2302980638162311
BGD,2011,6.5,8.8,9.3,0.0,-1.4,0.22378039696736193
BGD,2012,6.5,8.9,9.3,0.0,-0.3,0.22444851955361325
BGD,2013,6.0,6.8,9.3,0.0,1.3,0.21845347078427335
BGD,2014,6.1,7.3,9.3,0.0,0.7,0.22060340007461138
BGD,2015,6.6,6.4,9.3,0.0,1.2,0.20335541601570323
BGD,2016,7.1,5.9,9.3,0.0,1.6,0.18905681187294618
BGD,2017,6.6,5.4,9.3,0.0,-0.5,0.19380105916043394
BGD,2018,7.3,5.8,9.3,0.0,-3.0,0.18421820654718596
BGD,2019,7.9,5.5,9.3,0.0,-1.3,0.16961525634326338
BGD,2020,3.4,5.6,9.3,0.0,-1.5,0.2578719748699864
BGD,2021,6.9,5.6,9.3,0.0,-1.1,0.19000932867864848
BGD,2022,7.1,6.1,9.3,0.0,-4.0,0.1909372114980887
BGD,2023,5.8,9.0,9.3,0.0,-2.6,0.23868245646465325
BGD,2024,4.2,9.7,9.3,0.0,-1.4,0.2741579629069482
BRA,2010,7.5,5.0,8.0,0.0,-3.9,0.1620209657146801
BRA,2011,4.0,6.6,7.6,0.0,-3.2,0.2423379490430738
BRA,2012,1.9,5.4,6.9,0.0,-3.8,0.2663171439477493
BRA,2013,3.0,6.2,7.2,0.0,-3.6,0.255066846817476
BRA,2014,0.5,6.3,6.9,0.0,-4.5,0.30212117799141225
BRA,2015,-3.5,9.0,8.6,0.0,-3.5,0.41357419036347276
BRA,2016,-3.3,8.7,11.6,0.0,-1.7,0.43095901234255696
BRA,2017,1.3,3.4,12.9,0.0,-1.2,0.29982673427898493
BRA,2018,1.8,3.7,12.4,0.0,-2.8,0.29059486654833916
BRA,2019,1.2,3.7,12.0,0.0,-3.5,0.29912617064096453
BRA,2020,-3.3,3.2,13.8,0.0,-1.7,0.3929363391852509
BRA,2021,4.8,8.3,13.2,0.0,-2.4,0.28354329312262094
BRA,2022,3.0,9.3,9.3,0.0,-2.2,0.2949178236944799
BRA,2023,3.2,4.6,8.0,0.0,-1.3,0.2408546868614471
BRA,2024,3.4,4.4,6.9,0.0,-2.7,0.22605218044782374
COD,2010,7.8,23.5,9.3,0.0,-9.7,0.25887491485800135
COD,2011,7.6,14.9,9.3,0.0,-4.9,0.23429977513890107
COD,2012,8.7,0.9,9.3,0.0,-4.2,0.0731615006403779
COD,2013,9.6,0.9,9.3,0.0,-8.9,0.0557111059054624
COD,2014,7.3,1.2,9.3,0.0,-4.5,0.1099544618436469
COD,2015,6.4,0.7,9.3,0.0,-3.7,0.11043724936202787
COD,2016,0.4,3.2,9.3,0.0,-3.9,0.28629503802743417
