iso3,year,conflict_score,disaster_score,economic_score,health_shock,PEI,conflict_score_flag,disaster_score_flag,economic_score_flag,health_shock_flag,n_crises_above_threshold,is_polycrise_year,income_group,region,country_name
NGA,2010,0.5335294086415209,0.5701393894789986,0.1248210147576395,,0.3604753940836918,0,0,0,0,0,0,LMIC,SSA,Nigeria
NGA,2011,0.5504737173771109,0.4632440430623163,0.2414313629321333,0.0,0.3688346525806012,0,0,0,1,1,0,LMIC,SSA,Nigeria
NGA,2012,0.5920794456258379,0.700839271832713,0.2961197063863922,0.2499999999375,0.49396755051444446,0,1,0,1,2,0,LMIC,SSA,Nigeria
NGA,2013,0.6300752617917014,0.3483603878989904,0.2484916126092623,0.2499999999375,0.4072393417447836,0,0,0,1,1,0,LMIC,SSA,Nigeria
NGA,2014,0.7141907598202315,0.3687982188914059,0.2104204723775773,0.0,0.3947714387543268,1,0,0,1,2,0,LMIC,SSA,Nigeria
NGA,2015,0.7121319885492569,0.5406938449795854,0.2964626523647066,0.0,0.4585353203283129,1,0,0,1,2,0,LMIC,SSA,Nigeria
NGA,2016,0.6363048405619048,0.3826211296431059,0.447710648225518,0.0,0.43028963866382264,0,0,1,1,2,0,LMIC,SSA,Nigeria
NGA,2017,0.6430480186331512,0.2608345299833636,0.4360541285351959,0.499999999875,0.47428897113249274,0,0,1,1,2,0,LMIC,SSA,Nigeria
NGA,2018,0.6708311720814035,0.6629610060363724,0.4352224093102737,0.0,0.5093367640651527,0,0,1,1,2,0,LMIC,SSA,Nigeria
NGA,2019,0.6743331018325889,0.3608450261677559,0.3226404097835576,0.0,0.40688794462923444,0,0,0,1,1,0,LMIC,SSA,Nigeria
NGA,2020,0.7211191937704349,0.6070696788484828,0.4983088084818573,0.499999999875,0.6037363396334872,1,0,1,1,3,1,LMIC,SSA,Nigeria
NGA,2021,0.7467869228131927,0.4458100443550667,0.3684942477404025,0.0,0.46495149600848473,1,0,1,1,3,1,LMIC,SSA,Nigeria
NGA,2022,0.748287596122708,0.7957635183636135,0.3127207159767767,0.0,0.5390217172280454,1,1,0,1,3,1,LMIC,SSA,Nigeria
NGA,2023,0.7326784008110082,0.3898137348770308,0.3492737593886467,0.0,0.4412093138502722,1,0,0,1,2,0,LMIC,SSA,Nigeria
NGA,2024,0.7506863363483106,0.6421927690372631,0.3490082173952085,,0.5105404643300266,1,0,0,0,1,0,LMIC,SSA,Nigeria
ETH,2010,0.5012294484106868,0.3494410177766458,0.1394071449890234,,0.2976423476351576,0,0,0,0,0,0,LIC,SSA,Ethiopia
ETH,2011,0.4047864449988001,0.5586444361161134,0.2110242640790798,0.0,0.3340924307983783,0,0,0,1,1,0,LIC,SSA,Ethiopia
ETH,2012,0.4424382827639893,0.4769306387569091,0.2430167633437488,0.0,0.3348402494925607,0,0,0,1,1,0,LIC,SSA,Ethiopia
ETH,2013,0.4051259958411386,0.4238914559839501,0.152979674227291,0.0,0.2860118810972088,0,0,0,1,1,0,LIC,SSA,Ethiopia
ETH,2014,0.3443307045363858,,0.1399563719034007,0.0,0.15550483956358518,0,0,0,1,1,0,LIC,SSA,Ethiopia
ETH,2015,0.4416138013673961,0.7501546724658165,0.1533261983041616,0.0,0.38043504817108315,0,1,0,1,2,0,LIC,SSA,Ethiopia
