iso3,year,uhc_index,doctors_per10k,nurses_per10k,hospital_beds_per10k,oop_expenditure_pct,catastrophic_health_exp_pct,uhc_prev_year,uhc_change,health_shock_raw,health_shock
ARM,2010,65.0,27.9,51.44,41.486357948,77.62413025,20.216666666666665,,,,
ARM,2011,66.0,28.22,52.14,41.857249538,78.41966248,14.58,65.0,1.0,0.0,0.0
ARM,2012,68.0,28.59,52.2,41.884942156,78.58730316,15.366666666666667,66.0,2.0,0.0,0.0
ARM,2013,69.0,28.78,51.57,41.977342227,82.8755722,17.936666666666667,68.0,1.0,0.0,0.0
ARM,2014,70.0,28.83,51.38,42.820485534,82.48136902,18.703333333333333,69.0,1.0,0.0,0.0
ARM,2015,70.0,29.19,49.61,42.900486413,81.62987518,21.733333333333334,70.0,0.0,-0.0,0.0
ARM,2016,71.0,28.87,49.58,42.801880364,80.6469574,18.676666666666666,70.0,1.0,0.0,0.0
ARM,2017,71.0,29.08,48.98,42.734617579,84.34803009,21.44,71.0,0.0,-0.0,0.0
ARM,2018,70.0,28.93,46.07,41.763288444,84.27638245,,71.0,-1.0,1.0,0.2499999999375
ARM,2019,71.0,30.28,46.88,40.558186431,84.79430389,24.86,70.0,1.0,0.0,0.0
ARM,2020,71.0,31.63,47.63,44.522528655,77.84781647,23.18,71.0,0.0,-0.0,0.0
ARM,2021,71.0,32.55,48.45,44.273439002,78.65647888,19.89,71.0,0.0,-0.0,0.0
ARM,2022,71.0,33.6,47.47,42.032251917,79.0908432,,71.0,0.0,-0.0,0.0
ARM,2023,69.0,,,42.399974451,80.47196198,,71.0,-2.0,2.0,0.499999999875
BGD,2010,37.0,3.52,1.77,5.359851499,67.95515442,14.275714285714287,,,,
BGD,2011,38.0,3.73,1.88,5.330778497,68.17604828,,37.0,1.0,0.0,0.0
BGD,2012,40.0,3.9,1.98,6.132903329,68.27939606,,38.0,2.0,0.0,0.0
BGD,2013,41.0,4.12,1.95,5.82027454,69.62185669,,40.0,1.0,0.0,0.0
BGD,2014,43.0,4.78,2.43,5.970818928,70.75862885,,41.0,2.0,0.0,0.0
BGD,2015,45.0,4.76,2.6,7.628408468,72.67826843,,43.0,2.0,0.0,0.0
BGD,2016,46.0,4.89,2.59,7.919810181,71.49494171,25.142857142857142,45.0,1.0,0.0,0.0
